category,year,sales,emp,Export,gdp,inputs,n_firms,n_firms_export,n_new_firms,gdp_per_worker,sales_per_worker,export_share,avg_employment,TFP
large domestic,2005,5.832053245935572e9,154294.0,1.3184932022151787e9,9.663941288509333e8,2.4311002963188277e6,268,156,6,6263.32928597958,37798.31520302521,0.22607701723814894,575.723880597015,397.51306448123404
large domestic,2006,6.342320879997374e9,162770.0,1.543002719364873e9,1.0725734027995547e9,2.4280568761793333e6,286,158,5,6589.502996864008,38964.92523190621,0.24328676340411082,569.1258741258741,441.74146549948273
large domestic,2007,5.950757020387595e9,145786.0,1.5984151639663682e9,1.075551197462927e9,2.173240164337766e6,269,155,4,7377.602770244928,40818.439496162835,0.26860702907043876,541.9553903345725,494.90673654592206
large domestic,2008,5.517009053689709e9,143011.0,1.3713203803798575e9,8.837774748600581e8,2.0054913066125764e6,256,153,9,6179.786693751236,38577.51539175105,0.24856228565779406,558.63671875,440.67878626351353
large domestic,2009,4.674519854480104e9,136999.0,1.2141174718271003e9,7.665224149167581e8,1.9269367044268742e6,239,136,4,5595.094963589209,34120.83193658424,0.259730947695832,573.2175732217573,397.7932503728729
large domestic,2010,5.00687511850604e9,135563.0,1.4474934938512712e9,8.505382827192898e8,1.9643719366566658e6,243,152,5,6274.1181791439385,36933.93564989001,0.28910117779873384,557.8724279835391,432.9823017971303
large domestic,2011,5.221643528491926e9,138519.0,1.5923540420640094e9,8.899610984310305e8,1.9813926680872869e6,246,150,3,6424.830517337192,37696.22599420965,0.30495265204821453,563.0853658536586,449.15937802987
large domestic,2012,4.957807875629285e9,132678.7777709961,1.2913427538369908e9,8.325076499164929e8,1.8563840754692506e6,241,152,1,6274.6104833238915,37366.99989945999,0.2604664775706104,550.5343475974942,448.4565779880731
large domestic,2013,5.181849323588745e9,148061.07873535156,1.4253259041888819e9,8.843232246943489e8,1.9694792734398262e6,250,145,4,5972.692028504078,34998.051938085126,0.27506124072356414,592.2443149414063,449.01372490700027
large domestic,2014,5.622751134789352e9,138179.0,1.4730569146680422e9,1.0916154813749976e9,1.93239463200297e6,236,156,5,7900.009996996632,40691.79205805044,0.2619815245874701,585.5042372881356,564.9029775266524
large domestic,2015,6.159521751890913e9,150923.0,1.7958291510388553e9,1.3906138056349595e9,2.1439965581652382e6,262,175,2,9214.06151239347,40812.34637458116,0.29155334186254855,576.0419847328244,648.6082266965022
large domestic,2016,6.905700786018272e9,162263.0,1.7677932791398113e9,1.4653506361060827e9,2.4376477221535286e6,276,182,2,9030.713324085482,42558.69043477732,0.2559904250006024,587.9094202898551,601.1330606916102
large domestic,2017,8.10438330156709e9,174564.0,2.0872320975533302e9,1.698304781266047e9,2.710043371961156e6,304,199,5,9728.837453690607,46426.42985705581,0.2575436057114594,574.2236842105264,626.6707015973136
large domestic,2018,9.77909642451609e9,205496.0,1.7471192666777525e9,2.1217423233866532e9,3.4938776491883355e6,339,224,3,10324.98113533428,47587.770197551734,0.1786585580951777,606.1828908554572,607.2743628786075
large domestic,2019,1.0766917269232685e10,211994.0,1.6741759785392048e9,2.0663036154037097e9,4.283776069141693e6,337,217,2,9746.991025235193,50788.78302797572,0.15549260170534557,629.0623145400593,482.35565586361724
large domestic,2020,1.1290872066129898e10,204027.0,1.6785913432537868e9,1.91190454530098e9,3.956202219153601e6,327,202,1,9370.840846069295,55340.08766550456,0.14866799777930237,623.9357798165138,483.2676489701826
large domestic,2021,1.0198437118953043e10,215642.0,1.9049906910260618e9,1.8948259341544952e9,3.4886288748039105e6,343,197,2,8786.905770464451,47293.37104531141,0.18679241425000082,628.6938775510204,543.1434532459403
large domestic,2022,1.0714113292e10,250578.0,2.144718668e9,1.855775728e9,4.082507076313977e6,363,216,1,7405.98028557974,42757.59760234338,0.2001769637438327,690.297520661157,454.5676696476291
