category,year,sales,emp,Export,gdp,n_firms,n_firms_export,n_new_firms,gdp_per_worker,sales_per_worker,export_share
large,2015,6.415410859485425e10,856821.0,3.497097164493332e10,1.819221239534152e10,942,544,4,21232.22049336036,74874.57543040407,0.5451088388708173
large,2016,5.87983840873868e10,878753.0,2.8975912071303135e10,1.4054050646910786e10,957,551,5,15993.175154919285,66911.16171141015,0.4928011631788863
large,2017,6.282553921500634e10,914991.0,2.9874617551888634e10,1.4802525375951435e10,1016,577,7,16177.782487424942,68662.4668603367,0.47551708946976873
large,2018,6.5597969130570496e10,950550.0,2.9515585441714424e10,1.4809154164079123e10,1048,586,3,15579.563583271918,69010.54035092366,0.4499466345210272
large,2019,6.94703221267182e10,953377.0,3.2133119929513165e10,1.4029574061260397e10,1060,583,2,14715.662388814075,72867.6296226133,0.46254456501440067
large,2020,6.518375114658739e10,926340.0,2.8964984085980095e10,1.4334612517340464e10,1032,570,9,15474.461339616624,70366.98312346157,0.44435896333800545
large,2021,7.219965188432996e10,956653.0,3.3792891940548553e10,1.4728609434293903e10,1054,586,4,15395.978933107306,75471.0975498221,0.46804785145900246
large,2022,7.2103467104e10,928892.0,3.5048431611e10,1.2753442799e10,1043,572,2,13729.736932818885,77623.08977146966,0.4860852469195016
medium,1980,0.0,201647.0,0.0,0.0,1234,0,1234,0.0,0.0,NaN
medium,1981,0.0,197491.0,0.0,0.0,1213,0,8,0.0,0.0,NaN
medium,1982,0.0,190646.0,0.0,0.0,1164,0,12,0.0,0.0,NaN
medium,1983,0.0,193705.0,0.0,0.0,1179,0,21,0.0,0.0,NaN
medium,1984,0.0,196771.0,0.0,0.0,1197,0,7,0.0,0.0,NaN
medium,1985,0.0,239692.0,0.0,0.0,1633,0,347,0.0,0.0,NaN
medium,1986,0.0,260600.0,0.0,0.0,1822,0,101,0.0,0.0,NaN
medium,1987,6.979819004359844e9,279963.0,2.4102437004273665e8,1.2718890258638399e9,2031,110,118,4543.061139735751,24931.219498147413,0.03453160746606527
medium,1988,6.934898374282864e9,312229.0,1.786227927366041e8,1.381854176530151e9,2379,163,100,4425.771393849229,22210.936121509738,0.025757088726635513
medium,1989,7.810447462857205e9,374985.0,3.0019991718986714e8,1.6133565780914412e9,2856,261,473,4302.456306496103,20828.693048674493,0.038435687406832446
medium,1990,1.012617270813964e10,468919.0,6.859412940004463e8,1.9859824593422036e9,3878,491,822,4235.235636308624,21594.716162364162,0.06773944250912012
medium,1991,9.344189863526894e9,517630.0,1.1098410976098404e9,1.8978001530674484e9,4481,728,671,3666.325663248746,18051.870763918036,0.1187733890063466
medium,1992,8.391605582677972e9,498100.0,1.0242377383540332e9,2.3119273961972027e9,4520,921,706,4641.492463756681,16847.230641794762,0.1220550380094453
medium,1993,9.551257712347748e9,486346.0,9.664592764577018e8,2.7802154929499516e9,4537,993,415,5716.538211376163,19638.81210567733,0.10118659820143636
medium,1994,1.1249768284989994e10,482013.0,1.2675242084563086e9,3.2402556484360514e9,4600,1064,269,6722.340784244515,23339.13874727444,0.11267113920448504
medium,1995,1.1002426946510761e10,464060.0,1.5212566781584234e9,3.2276790968082647e9,4479,1118,160,6955.305557057847,23709.06121301289,0.13826555591363093
medium,1996,1.1472593817677698e10,454903.0,1.4901795671071866e9,3.249328022580292e9,4414,1194,137,7142.903042143693,25219.868450367878,0.1298903796987063
medium,1997,1.2577366903379793e10,457029.0,1.7965293484510367e9,3.5361561743895054e9,4453,1243,127,7737.268694961382,27519.84426235489,0.1428382714961009
medium,1998,1.4499782430030445e10,478940.0,2.0108916615219865e9,3.9945556387961407e9,4685,1333,103,8340.409318069364,30274.736772936998,0.1386842644864268
medium,1999,1.5343341690874788e10,476972.0,2.0613584348481903e9,4.158895403550994e9,4779,1353,145,8719.370117220704,32168.22306314582,0.13434872770083398
medium,2000,1.6786864579498371e10,479179.0,2.7188198726201653e9,4.484137476649661e9,4791,1442,126,9357.959085539353,35032.55480623811,0.16196114883422796
medium,2001,1.865754542569767e10,480771.0,2.748898342025339e9,3.565000310759203e9,4778,1447,135,7415.173358541183,38807.55167366099,0.14733440435520465
medium,2002,1.967969576547139e10,473309.0,2.889810239713886e9,4.007151374925521e9,4690,1389,89,8466.248000620146,41578.95954962063,0.1468422212493825
